Subject_Initials,Session_Number,Counterbalance_Order,Mouse/Touchscreen,Task,Run,Trial,Attempted_Trial,Number_of_Fixations,Fixation_1,Fixation_2,Fixation_3,Condition_Number,Horizontal/Vertical_Saccade,Saccade_Directions,Spatiotopic_Zone,Retinotopic_Zone,Correct_X,Correct_Y,Response_X,Response_Y,Error_X,Error_Y,Error_Dist,RT,True_Eccentricity,Measured_Eccentricity,PPD,initTrial,initCue,initFix1,initFixing1,initFix2,initFixing2,initFix3,initFixing3,initResp,sacLat1,sacLat2,sacLat3,errorCut_big_error_lag,initMask,saccade_condition
ad,1,3,M,R,1,16,19,2,3,4,0,3,2,2,5,6,632.85,720.67,651.34,715.25,18.4853,-5.4217,19.264,2.5233,154.1701,136.2911,21.27,140.5371,141.2869,141.4869,141.4919,141.9868,142.1761,NA,NA,143.0364,0.0049,0.1892,NA,0,NA,1
ad,1,3,M,R,1,17,20,3,4,2,1,4,3,31,5,1,431.33,296.18,400.98,301.73,-30.3517,5.5515,30.8552,2.0148,135.8487,154.6335,21.27,148.9177,149.5674,149.7674,149.7725,150.2672,150.466,151.317,151.5735,152.4334,0.0049,0.1987,0.2563,0,NA,2
ad,1,3,M,R,1,18,22,2,4,3,0,3,2,1,5,4,640,312.86,632.33,306.73,-7.6719,-6.1303,9.8203,2.1839,142.7726,152.5791,21.27,160.3807,161.1304,161.3303,161.3354,161.8301,161.9972,NA,NA,162.8631,0.005,0.167,NA,0,NA,1
ad,1,3,M,R,1,19,23,2,4,3,0,3,2,1,5,4,628.08,250.9,565.05,256.32,-63.0376,5.4167,63.2698,2.2951,193.4086,236.6415,21.27,168.4112,169.0613,169.2611,169.2661,169.7608,169.9418,NA,NA,170.8108,0.0048,0.1809,NA,0,NA,1
ad,1,3,M,R,1,20,24,2,1,2,0,3,2,2,5,6,613.79,758.8,604.24,731.98,-9.5475,-26.8172,28.466,2.1793,158.5849,131.2951,21.27,176.4586,177.1584,177.3583,177.3635,177.8581,178.066,NA,NA,178.9245,0.005,0.2077,NA,0,NA,1
ad,1,3,M,R,1,21,25,2,1,3,0,2,1,4,5,8,879.65,476.25,863.08,484.89,-16.5663,8.6373,18.6828,2.8805,147.3362,139.1372,21.27,184.4728,185.1892,185.3891,185.3978,185.8889,186.0222,NA,NA,186.8885,0.0085,0.1332,NA,0,NA,1
ad,1,3,M,R,1,22,26,3,4,2,4,5,1,34,5,5,625.7,504.85,611.87,481.95,-13.8341,-22.9014,26.7555,1.7966,179.6388,205.5481,21.27,193.1533,194.0028,194.2028,194.2111,194.7027,194.8957,195.7356,195.9905,196.8519,0.0081,0.1929,0.2547,0,NA,2 return
ad,1,3,M,R,1,23,27,2,4,2,0,2,1,3,5,2,395.59,512,377.64,494.16,-17.9409,-17.8359,25.2982,2.3269,173.0324,198.3075,21.27,202.0337,202.6999,202.8999,202.908,203.4,203.5743,NA,NA,204.4329,0.0079,0.1741,NA,0,NA,1
ad,1,3,M,R,1,24,28,3,3,1,2,4,3,32,5,3,438.48,765.95,449.46,769.32,10.9794,3.3733,11.485900000000001,4.3224,161.9611,159.4363,21.27,210.1311,210.8138,211.0139,211.0192,211.5138,211.6716,212.5134,212.758,213.6298,0.0051,0.1576,0.2444,0,NA,2
ad,1,3,M,R,1,25,29,3,4,3,1,4,3,13,5,1,378.9,246.14,356.31,235.36,-22.5912,-10.782,25.0322,2.4898,208.2419,231.8665,21.27,221.344,222.0439,222.2437,222.2489,222.7433,222.9451,223.793,224.0623,224.926,0.0051,0.2017,0.2691,0,NA,2
ad,1,3,M,R,1,26,31,2,2,4,0,2,1,4,5,8,867.73,497.7,871.74,485.98,4.0094,-11.7208,12.3876,2.4311,171.6722,183.2458,21.27,235.456,236.1389,236.3389,236.3441,236.8387,237.2748,NA,NA,238.1384,0.005,0.4359,NA,0,NA,1
ad,1,3,M,R,1,27,32,2,1,3,0,2,1,4,5,8,860.58,521.53,877.64,513.3,17.0572,-8.2356,18.9413,2.4473,163.4217,168.9762,21.27,243.9865,244.6696,244.8694,244.8782,245.3693,245.5595,NA,NA,246.419,0.0086,0.1901,NA,0,NA,1
ad,1,3,M,R,1,28,33,2,3,4,0,3,2,2,5,6,651.92,711.14,655.83,699.62,3.9165,-11.5182,12.1658,2.1752,133.2503,123.195,21.27,252.2837,252.9669,253.1668,253.1718,253.6665,253.8503,NA,NA,254.7163,0.0048,0.1836,NA,0,NA,1
ad,1,3,M,R,1,29,34,3,1,2,4,4,3,24,5,9,882.03,725.43,875.38,713.3,-6.6525,-12.1294,13.8339,1.8036,158.9526,146.3769,21.27,260.2978,260.9808,261.1809,261.1861,261.6806,261.9035,262.7468,263.0007,263.8632,0.0051,0.2227,0.2537,0,NA,2
ad,1,3,M,R,1,30,35,2,3,1,0,2,1,3,5,2,438.48,485.79,445.68,481.32,7.1943,-4.4654,8.4674,3.0522,124.0046,115.8355,21.27,269.0781,269.728,269.9279,269.9334,270.4277,270.606,NA,NA,271.4775,0.0053,0.1782,NA,0,NA,1
ad,1,3,M,R,1,31,37,1,3,0,0,1,0,0,5,5,620.94,500.08,627.72,514.13,6.7837,14.0445,15.597,2.6959,170.8671,174.7386,21.27,280.708,281.3574,281.5574,281.5624,NA,NA,NA,NA,282.0738,0.0049,NA,NA,0,NA,0
ad,1,3,M,R,1,32,38,3,4,3,4,5,2,12,5,5,659.06,502.47,601.2,482.99,-57.8696,-19.4793,61.0601,2.9567,158.9526,212.4679,21.27,288.1887,288.9383,289.1382,289.1467,289.6382,289.8372,290.6878,291.0079,291.8706,0.0082,0.1988,0.3199,0,NA,2 return
ad,1,3,M,R,1,33,39,1,2,0,0,1,0,0,5,5,616.17,521.53,633.87,499.94,17.6983,-21.5911,27.9178,1.6703,141.1725,169.0818,21.27,298.252,298.9018,299.1017,299.1066,NA,NA,NA,NA,299.6181,0.0048,NA,NA,0,NA,0
ad,1,3,M,R,1,34,40,3,2,4,2,5,1,43,5,5,649.53,502.47,649.34,492.67,-0.1887,-9.7996,9.8014,2.4063,177.8825,184.8134,21.27,304.7165,305.3662,305.5661,305.5713,306.066,306.2251,307.0656,307.2681,308.1321,0.005,0.159,0.2023,0,NA,2 return
ad,1,3,M,R,1,35,42,2,2,4,0,2,1,4,5,8,874.88,485.79,862.62,479.53,-12.2649,-6.2584,13.7694,2.5946,185.3904,182.8452,21.27,318.0122,318.7786,318.9784,318.9836,319.4783,319.6766,NA,NA,320.5446,0.005,0.1982,NA,0,NA,1
ad,1,3,M,R,1,36,43,1,1,0,0,1,0,0,5,5,640,545.36,656.73,529.69,16.7344,-15.6722,22.9272,2.1619,189.4677,188.7455,21.27,326.5759,327.2425,327.4422,327.4492,NA,NA,NA,NA,327.9589,0.0068,NA,NA,0,NA,0
ad,1,3,M,R,1,37,44,3,3,1,3,5,1,34,5,5,656.68,483.4,666.04,479.67,9.3573,-3.7347,10.075,2.1275,132.6522,123.2074,21.27,333.5569,334.3233,334.5232,334.5282,335.0232,335.2401,336.0897,336.2802,337.1391,0.0048,0.2166,0.1902,0,NA,2 return
ad,1,3,M,R,1,38,45,1,4,0,0,1,0,0,5,5,668.6,516.77,653.41,511.15,-15.1872,-5.6178,16.1929,2.8639,141.8147,155.848,21.27,342.7041,343.387,343.5872,343.5923,NA,NA,NA,NA,344.1036,0.0049,NA,NA,0,NA,0
ad,1,3,M,R,1,39,46,3,2,4,3,4,3,41,5,7,886.8,286.65,849.1,282.81,-37.7,-3.8418,37.8952,1.8843,170.1343,146.2076,21.27,350.4014,351.0678,351.268,351.2729,351.7678,351.9732,352.8173,353.1051,353.967,0.0047,0.2053,0.2876,0,NA,2
ad,1,3,M,R,1,40,47,2,3,1,0,2,1,3,5,2,424.18,512,414.2,505.06,-9.9797,-6.9375,12.1542,2.4683,153.061,154.757,21.27,359.2984,360.0649,360.2649,360.27,360.7648,360.9406,NA,NA,361.7977,0.005,0.1757,NA,0,NA,1
ad,1,3,M,R,2,1,1,3,3,1,2,4,3,32,5,3,409.88,720.67,421.77,736.13,11.8815,15.4611,19.4991,2.3384,146.6516,148.455,21.27,2.0492,2.7991,2.999,3.0041,3.4988,3.6807,4.5318,4.7995,5.6647,0.0048,0.1817,0.2675,0,NA,2
ad,1,3,M,R,2,2,3,2,1,3,0,2,1,4,5,8,889.18,490.55,879.38,502.15,-9.8019,11.5965,15.184,2.4084,163.2729,162.731,21.27,13.7786,14.4451,14.6452,14.6503,15.145,15.306,NA,NA,16.178,0.005,0.1608,NA,0,NA,1
ad,1,3,M,R,2,3,4,3,1,3,1,5,1,43,5,5,604.25,481.02,589.7,476.07,-14.5541,-4.9453,15.3713,1.8919,117.2668,103.9285,21.27,21.876,22.5091,22.7091,22.7141,23.209,23.3673,24.2086,24.4555,25.3251,0.0049,0.1582,0.2468,0,NA,2 return
ad,1,3,M,R,2,4,5,1,3,0,0,1,0,0,5,5,616.17,547.75,582.61,571.47,-33.5595,23.722,41.0971,1.741,206.7013,247.038,21.27,30.5065,31.223,31.4232,31.4282,NA,NA,NA,NA,31.9395,0.0049,NA,NA,0,NA,0
ad,1,3,M,R,2,5,6,2,1,3,0,2,1,4,5,8,865.35,545.36,880.57,542.39,15.2168,-2.9691,15.5037,1.249,185.1673,192.2477,21.27,36.9712,37.6209,37.8208,37.826,38.3209,38.6965,NA,NA,39.5535,0.0051,0.3754,NA,0,NA,1
ad,1,3,M,R,2,6,7,2,1,2,0,3,2,2,5,6,642.38,720.67,628.78,718.04,-13.6019,-2.6288,13.8536,2.474,150.3823,138.1797,21.27,44.102,44.7685,44.9684,44.9736,45.4684,45.7056,NA,NA,46.5681,0.0051,0.237,NA,0,NA,1
ad,1,3,M,R,2,7,8,3,3,4,2,4,3,23,5,3,407.5,723.05,419.88,725.77,12.374,2.7225,12.6699,2.0598,150.0042,142.4817,21.27,52.3328,52.9991,53.199,53.2217,53.7157,54.1733,55.0152,55.309,56.1815,0.0225,0.4575,0.2936,0,NA,2
ad,1,3,M,R,2,8,9,2,4,3,0,3,2,1,5,4,628.08,269.97,601.99,259.69,-26.0961,-10.2772,28.0469,2.4664,179.5756,205.6905,21.27,61.5463,62.3631,62.5626,62.568,63.0624,63.2476,NA,NA,64.1124,0.0052,0.185,NA,0,NA,1
ad,1,3,M,R,2,9,11,3,2,4,3,4,3,41,5,7,898.71,303.33,873.46,276.8,-25.2523,-26.5314,36.6278,2.318,169.8148,166.9957,21.27,75.342,76.0916,76.2916,76.2968,76.7913,76.97,77.8243,78.0497,78.9073,0.005,0.1786,0.2253,0,NA,2
ad,1,3,M,R,2,10,12,2,2,1,0,3,2,1,5,4,659.06,291.42,659.71,290.67,0.6421,-0.7486,0.9863,2.3747,170.8671,171.8328,21.27,84.5555,85.2388,85.4384,85.4473,85.9383,86.2796,NA,NA,87.1547,0.0087,0.3412,NA,0,NA,1
ad,1,3,M,R,2,11,14,2,2,4,0,2,1,4,5,8,879.65,528.68,876.59,505.94,-3.0624,-22.7404,22.9457,2.3236,158.5591,171.5813,21.27,95.4686,97.0679,97.2679,97.2743,97.7677,98.0413,NA,NA,98.9008,0.0063,0.2735,NA,0,NA,1
ad,1,3,M,R,2,12,16,2,3,1,0,2,1,3,5,2,433.72,519.15,442.84,493.84,9.1246,-25.3095,26.9041,1.4682,152.7534,127.1537,21.27,107.0648,107.7979,107.9978,108.0029,108.4978,108.6916,NA,NA,109.5639,0.005,0.1937,NA,0,NA,1
ad,1,3,M,R,2,13,18,3,2,4,2,5,1,43,5,5,625.7,497.7,638.34,475.5,12.6346,-22.1974,25.5413,2.0863,165.6405,190.9477,21.27,117.0614,119.1107,119.3106,119.3155,119.8105,120.0347,120.8769,121.2057,122.0764,0.0047,0.224,0.3286,0,NA,2 return
ad,1,3,M,R,2,14,19,2,3,1,0,2,1,3,5,2,412.27,495.32,443.02,499.88,30.7562,4.5646,31.0931,1.7166,149.4732,131.7589,21.27,127.5079,128.291,128.4909,128.4984,128.9908,129.3355,NA,NA,130.2071,0.0072,0.3446,NA,0,NA,1
ad,1,3,M,R,2,15,20,2,3,4,0,3,2,2,5,6,640,725.43,661.97,734.25,21.9727,8.8198,23.6767,1.6804,151.5216,141.8628,21.27,135.2721,136.4384,136.6383,136.6432,137.1382,137.412,NA,NA,138.2711,0.0048,0.2736,NA,0,NA,1
ad,1,3,M,R,2,16,21,2,2,1,0,3,2,1,5,4,632.85,253.29,666.33,251.77,33.4775,-1.5211,33.512,2.288,179.4401,202.6327,21.27,143.3027,144.1025,144.3024,144.3082,144.8022,145.0737,NA,NA,145.9354,0.0056,0.2714,NA,0,NA,1
ad,1,3,M,R,2,17,22,1,4,0,0,1,0,0,5,5,651.92,481.02,605.36,446.54,-46.5601,-34.4765,57.9351,1.6425,180.4501,236.1912,21.27,151.5833,152.2331,152.4332,152.4382,NA,NA,NA,NA,152.9496,0.0049,NA,NA,0,NA,0
ad,1,3,M,R,2,18,23,1,1,0,0,1,0,0,5,5,609.02,528.68,602.14,532.76,-6.8828,4.076,7.9992,1.6429,157.9289,157.8461,21.27,157.9314,158.7143,158.9144,158.9193,NA,NA,NA,NA,159.4308,0.0048,NA,NA,0,NA,0
ad,1,3,M,R,2,19,24,3,4,3,4,5,2,12,5,5,635.23,512,623,475.48,-12.2338,-36.5234,38.5179,1.3998,167.8057,202.719,21.27,164.4291,165.0957,165.2955,165.3025,165.7953,166.0359,166.8783,167.0935,167.9613,0.0069,0.2404,0.2151,0,NA,2 return
ad,1,3,M,R,2,20,27,2,2,4,0,2,1,4,5,8,882.03,485.79,903.57,478.66,21.535,-7.1256,22.6832,1.9642,190.0448,209.9506,21.27,180.7071,182.0067,182.2066,182.2116,182.7067,182.9091,NA,NA,183.7729,0.0048,0.2023,NA,0,NA,1
ad,1,3,M,R,2,21,28,1,1,0,0,1,0,0,5,5,661.45,476.25,670.36,468.24,8.9153,-8.015,11.9884,2.8323,159.5033,163.5536,21.27,189.1211,189.8543,190.0542,190.0594,NA,NA,NA,NA,190.5706,0.005,NA,NA,0,NA,0
ad,1,3,M,R,2,22,32,2,4,2,0,2,1,3,5,2,390.82,497.7,387.68,464.72,-3.1356,-32.9826,33.1313,2.194,186.3157,212.7358,21.27,211.0304,211.7136,211.9136,211.9189,212.4133,212.5984,NA,NA,213.4632,0.0051,0.1849,NA,0,NA,1
ad,1,3,M,R,2,23,34,1,2,0,0,1,0,0,5,5,609.02,509.62,626.86,486,17.8399,-23.6169,29.5976,3.1676,146.0976,175.6882,21.27,221.5604,223.443,223.6431,223.6483,NA,NA,NA,NA,224.1597,0.005,NA,NA,0,NA,0
ad,1,3,M,R,2,24,35,3,4,3,1,4,3,13,5,1,431.33,248.52,411.99,236.03,-19.3439,-12.4893,23.0254,2.3528,173.8327,194.9386,21.27,230.724,231.3904,231.5905,231.5955,232.0902,232.5154,233.3565,233.5796,234.4395,0.0049,0.4251,0.2229,0,NA,2
ad,1,3,M,R,2,25,36,3,4,2,1,4,3,31,5,1,412.27,253.29,442.55,234.22,30.2835,-19.0641,35.7845,2.0409,180.899,180.789,21.27,240.1876,240.904,241.1038,241.112,241.6038,241.8253,242.67,242.8896,243.753,0.0079,0.2212,0.2193,0,NA,2
ad,1,3,M,R,2,26,37,2,4,2,0,2,1,3,5,2,409.88,514.38,409.48,509.68,-0.4076,-4.7073,4.7249,4.2091,161.0314,164.6762,21.27,249.1847,249.9176,250.1176,250.1253,250.6174,250.9023,NA,NA,251.7672,0.0076,0.2846,NA,0,NA,1
ad,1,3,M,R,2,27,38,1,2,0,0,1,0,0,5,5,623.32,504.85,617.12,516.56,-6.1971,11.7079,13.2469,2.6675,158.5591,145.5779,21.27,259.3813,260.031,260.2309,260.2391,NA,NA,NA,NA,260.7641,0.008,NA,NA,0,NA,0
ad,1,3,M,R,2,28,39,3,2,1,2,5,2,12,5,5,616.17,488.17,627.41,496,11.2413,7.8311,13.7001,2.3395,167.8205,168.0335,21.27,266.8457,267.5452,267.7451,267.7533,268.2449,268.6496,269.4946,269.7857,270.6444,0.0079,0.4046,0.291,0,NA,2 return
ad,1,3,M,R,2,29,41,1,4,0,0,1,0,0,5,5,637.62,507.23,619.02,503.25,-18.6013,-3.9877,19.0239,1.7418,169.4653,185.6313,21.27,283.8898,284.5729,284.773,284.7782,NA,NA,NA,NA,285.2894,0.005,NA,NA,0,NA,0
ad,1,3,M,R,2,30,42,2,4,3,0,3,2,1,5,4,668.6,312.86,676.68,317.98,8.0784,5.1158,9.562,1.7377,120.6357,111.2661,21.27,290.4545,291.1041,291.304,291.3126,291.8039,292.0067,NA,NA,292.8702,0.0084,0.2027,NA,0,NA,1
ad,1,3,M,R,2,31,43,1,3,0,0,1,0,0,5,5,609.02,547.75,595.68,546.34,-13.3437,-1.4108,13.4181,1.7665,211.6117,220.1361,21.27,298.0353,298.8682,299.0681,299.0769,NA,NA,NA,NA,299.6014,0.0086,NA,NA,0,NA,0
ad,1,3,M,R,2,32,44,3,1,2,4,4,3,24,5,9,877.27,713.52,851.4,701.82,-25.8629,-11.6943,28.3839,1.2589,148.0392,120.2801,21.27,304.7997,305.4827,305.6826,305.6879,306.1826,306.6486,307.4987,307.6939,308.565,0.0051,0.4659,0.195,0,NA,2
ad,1,3,M,R,2,33,45,3,3,4,3,5,2,21,5,5,644.77,483.4,644.05,476.18,-0.7194,-7.2229,7.2587,1.4375,141.8147,138.0517,21.27,313.2469,313.9133,314.1133,314.1183,314.613,314.8639,315.7127,315.9689,316.8456,0.0048,0.2507,0.256,0,NA,2 return
ad,1,3,M,R,2,34,46,2,1,2,0,3,2,2,5,6,654.3,758.8,640.42,766.98,-13.8807,8.1828,16.1131,2.4593,184.623,181.2666,21.27,321.7107,322.3438,322.5439,322.549,323.0436,323.4308,NA,NA,324.2933,0.0049,0.387,NA,0,NA,1
ad,1,3,M,R,2,35,49,3,2,1,3,4,3,14,5,7,882.03,293.8,877.17,299.59,-4.8596,5.794,7.5622,1.5612,161.9107,154.4938,21.27,336.7559,337.4055,337.6056,337.6105,338.1054,338.4032,339.2549,339.4483,340.3212,0.0048,0.2976,0.1933,0,NA,2
ad,1,3,M,R,2,36,50,2,3,4,0,3,2,2,5,6,628.08,742.12,640.17,731.49,12.0874,-10.6237,16.0925,1.4644,171.4405,155.3482,21.27,345.3196,345.986,346.186,346.1913,346.6859,346.9379,NA,NA,347.8021,0.0051,0.2518,NA,0,NA,1
ad,1,3,M,R,2,37,51,3,1,2,1,5,2,21,5,5,659.06,540.6,638.3,559.62,-20.768,19.0276,28.1667,1.8507,198.2186,199.9393,21.27,352.7174,353.3506,353.5504,353.5557,354.0501,354.2314,355.0832,355.3356,356.1995,0.0051,0.1812,0.2523,0,NA,2 return
ad,1,3,M,R,2,38,52,3,1,3,4,4,3,42,5,9,886.8,720.67,865.6,731.8,-21.1961,11.133,23.942,1.8125,159.9499,150.6013,21.27,361.4976,362.2975,362.4973,362.5024,362.9971,363.1466,363.9968,364.3177,365.1797,0.005,0.1492,0.3207,0,NA,2
ad,1,3,M,R,2,39,53,3,3,1,3,5,1,34,5,5,611.4,538.21,603.25,530.94,-8.1487,-7.2729,10.9223,1.7402,203.1663,204.1672,21.27,370.4448,371.0948,371.2944,371.2999,371.7944,371.9784,372.8272,372.9709,373.8435,0.0054,0.1838,0.1436,0,NA,2 return
ad,1,3,M,R,2,40,54,3,4,2,4,5,1,34,5,5,675.75,497.7,642.13,477.42,-33.6178,-20.2833,39.2628,1.742,153.3738,189.1392,21.27,379.0252,379.675,379.8749,379.8836,380.3748,380.5588,381.4079,381.6114,382.474,0.0085,0.1838,0.2032,0,NA,2 return
ad,1,3,M,R,3,1,1,2,4,2,0,2,1,3,5,2,371.75,540.6,408.99,521.85,37.234,-18.7497,41.6884,2.2325,175.4587,156.4983,21.27,2.0828,2.9158,3.1156,3.1204,3.6155,3.8951,NA,NA,4.7653,0.0046,0.2795,NA,0,NA,1
ad,1,3,M,R,3,2,2,3,3,1,3,5,1,34,5,5,666.21,519.15,685.15,517.42,18.9342,-1.7314,19.0132,2.753,152.7534,140.9196,21.27,10.2799,10.9631,11.163,11.1682,11.6631,11.9098,12.7626,12.9263,13.7956,0.005,0.2465,0.1636,0,NA,2 return
ad,1,3,M,R,3,3,4,3,2,4,3,4,3,41,5,7,893.95,265.2,878.48,258.68,-15.4626,-6.5266,16.7836,2.5771,189.7457,183.6596,21.27,22.4094,23.0425,23.2425,23.2474,23.7422,23.8866,24.7253,25.0026,25.8749,0.0048,0.1443,0.2771,0,NA,2
ad,1,3,M,R,3,4,5,2,3,1,0,2,1,3,5,2,407.5,538.21,421.42,517.26,13.9169,-20.9525,25.1533,2.0635,183.8746,158.8613,21.27,31.7397,32.5893,32.7893,32.7944,33.289,33.4813,NA,NA,34.3553,0.0049,0.1921,NA,0,NA,1
ad,1,3,M,R,3,5,6,3,4,2,1,4,3,31,5,1,412.27,243.75,411.39,236.58,-0.8727,-7.1762,7.2291,1.6998,188.4976,194.8325,21.27,39.7204,40.4533,40.6534,40.6585,41.1531,41.3504,42.2029,42.4797,43.3524,0.005,0.1971,0.2767,0,NA,2
ad,1,3,M,R,3,6,7,3,3,1,2,4,3,32,5,3,417.03,770.71,433.59,775.96,16.5603,5.2516,17.373,1.2404,178.0012,173.0551,21.27,48.3509,49.0506,49.2506,49.2558,49.7503,49.9153,50.7667,51.01,51.8663,0.0051,0.1649,0.2431,0,NA,2
ad,1,3,M,R,3,7,8,2,3,4,0,3,2,2,5,6,649.53,773.1,661.77,759.33,12.2332,-13.7682,18.4178,1.4258,179.9142,161.5822,21.27,56.4149,57.0978,57.2978,57.3029,57.7976,58.218,NA,NA,59.0808,0.005,0.4202,NA,0,NA,1
ad,1,3,M,R,3,8,10,3,4,3,1,4,3,13,5,1,412.27,243.75,367.56,223.45,-44.7087,-20.3012,49.102,1.6392,188.4976,232.556,21.27,66.3448,67.0613,67.2612,67.2666,67.7613,67.9723,68.8273,69.1966,70.0603,0.0052,0.2109,0.3691,0,NA,2
ad,1,3,M,R,3,9,11,3,2,1,3,4,3,14,5,7,851.05,243.75,836.07,257.57,-14.9767,13.816,20.3761,1.7373,179.1373,159.5799,21.27,75.0087,75.6751,75.8753,75.8802,76.3749,76.6074,77.4578,77.6479,78.5075,0.0047,0.2323,0.19,0,NA,2
ad,1,3,M,R,3,10,12,3,4,3,4,5,2,12,5,5,609.02,526.3,610.64,524.5,1.625,-1.7948,2.4211,1.555,179.0827,178.7846,21.27,83.5558,84.2725,84.4724,84.4774,84.972,85.1797,86.0217,86.2467,87.1048,0.0049,0.2075,0.2249,0,NA,2 return
